participant,ExpeDuration,framerate,Trial_number,experiment,intention,condition,explicability,MapConfiguration,Strategie,TargetAIchoice,TargetUserchoice,ConflictLevel,Obstacle,delayIB,IBestimUser,IB,IB_zscore,SoARatings,SoARatings_zscore,Correlation,Score_trial
5630b79b733ea00011164946,57.7502716666667,60.0,97,1,1.0,4,1.0,5,2,1.0,4.0,0.0,0,750,331,-419,-1.68060190668606,5,0.412470392085585,0.859846752333906,293.5
5630b79b733ea00011164946,57.7502716666667,60.0,98,1,1.0,2,1.0,5,2,1.0,2.0,1.0,0,750,681,-69,-0.0207481716874822,6,1.17395419285897,0.859846752333906,297.5
5630b79b733ea00011164946,57.7502716666667,60.0,99,1,1.0,3,1.0,4,1,1.0,4.0,0.0,0,250,221,-29,0.168949398026641,4,-0.349013408687803,0.859846752333906,300.0
5630b79b733ea00011164946,57.7502716666667,60.0,100,1,1.0,4,1.0,6,2,3.0,4.0,1.0,0,250,311,61,0.595768929883419,6,1.17395419285897,0.859846752333906,304.0
5630b79b733ea00011164946,57.7502716666667,60.0,102,1,1.0,1,0.0,1,1,3.0,4.0,0.0,0,750,571,-179,-0.542416488401321,4,-0.349013408687803,0.859846752333906,304.5
5630b79b733ea00011164946,57.7502716666667,60.0,103,1,1.0,2,1.0,2,1,4.0,1.0,1.0,0,250,561,311,1.78137874059669,4,-0.349013408687803,0.859846752333906,307.0
5630b79b733ea00011164946,57.7502716666667,60.0,104,1,1.0,4,1.0,5,2,1.0,4.0,0.0,0,750,881,131,0.927739676883134,7,1.93543799363236,0.859846752333906,311.0
5630b79b733ea00011164946,57.7502716666667,60.0,105,1,1.0,3,1.0,4,1,1.0,4.0,0.0,0,250,381,131,0.927739676883134,5,0.412470392085585,0.859846752333906,313.5
5630b79b733ea00011164946,57.7502716666667,60.0,107,1,1.0,1,0.0,5,2,1.0,4.0,0.0,0,250,331,81,0.69061771474048,1,-2.63346481100797,0.859846752333906,315.5
5630b79b733ea00011164946,57.7502716666667,60.0,77,1,1.0,3,1.0,4,1,3.0,4.0,0.0,0,1250,971,-279,-1.01666041268663,2,-1.87198101023458,0.859846752333906,233.0
5630b79b733ea00011164946,57.7502716666667,60.0,64,1,1.0,4,1.0,1,1,3.0,2.0,1.0,0,1250,841,-409,-1.63317751425753,3,-1.11049720946119,0.859846752333906,196.0
5630b79b733ea00011164946,57.7502716666667,60.0,65,1,1.0,4,1.0,5,1,3.0,4.0,1.0,0,250,231,-19,0.216373790455172,3,-1.11049720946119,0.859846752333906,198.5
5630b79b733ea00011164946,57.7502716666667,60.0,66,1,1.0,3,1.0,4,2,2.0,1.0,0.0,0,1250,961,-289,-1.06408480511516,4,-0.349013408687803,0.859846752333906,202.5
